CODE COULEUR : ,Surligné en vert : questions à Nathalie,"Surligné en bleu: modifications apportées, à valider ensemble",Surligné en jaune : pour Léa,Surligné en rose : pour Louise,Souligné : apports et corrections validés (Ctrl + u),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
uuid,mots-clefs,,,,,,,
ce654d51-ce9a-4467-ad19-24ab121f0258,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],danse populaire,danse populaire allemande,,,
4083a3c5-9d8b-4cff-a70d-07e4c93a47e6,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],danse traditionnelle,,,,
ce29ae43-6947-410e-908c-86891934a488,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],danse traditionnelle,Bailles largues [danses publiques dans les Pyrénées : 16870502],,,
4519c59f-c089-4c81-946f-6e1483eac81d,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],danse à cheval,,,,
019b1df5-6b88-4ea4-8265-8a626dbd6f03,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],forlane,,,,
7409356a-651c-4152-bfcc-24ff4e923a62,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],gavotte,,,,
d3cb91be-3e10-40ab-be11-6d5f86efff03,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],gavotte,gavotte vocale [ou gavotte + Air ?gavotte vocale dans l’index des genres musicaux],,,
883f5267-2dcb-4398-be57-c83fbc489ef2,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],gigue,,,,
141021f8-e3a3-43a4-a00c-47d7ab1e1c82,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],gigue,gigue vocale [ou gigue + Air ? gigue vocale dans l’index des genres musicaux],,,
94cda9cb-e777-4131-a3c9-385885d328cb,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],menuet,,,,
3ffb0449-32a3-41eb-910a-5fb2d7b43011,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],menuet,menuet du Poitou,,,
8451b4fc-d25a-422a-9b50-811af104a744,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],menuet,menuet figuré,,,
6c95d370-6243-4f1d-a5e2-738ca44213a3,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],menuet,menuet vocal [ou menuet + Air ? menuet vocal dans l’index des genres musicaux],,,
a1484dc5-c4d3-4087-8f1f-45ef4cb6810e,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],moresque,,,,
16dbcf18-9cb7-4fe2-8602-645259f49432,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],pantomime,,,,
12df1831-a020-44d1-b8b9-1efec4ace93b,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],passepied,,,,
c845f4fb-92d1-4934-8838-4853bd85b488,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],passepied,passepied de Bretagne,,,
84e6a821-41bb-4b8d-bddc-1f81c016b021,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],pyrrhique,,,,
1172714a-e9f7-4c54-917d-8c38c84d817d,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],quadrille,,,,
c1fec58d-49e6-4315-a1eb-79c8174b7d89,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],sarabande,,,,
33d2738f-971b-40d5-aec7-c1ba14dfad50,Arts,Danse,Types de danse [en attente : forme musicale ou danse elle-même ? Nathalie : voir si relatif aux airs],sarabande,sarabande vocale [ou Sarabande + air ? sarabande vocale dans l’index des genres musicaux],,,
c442e1d0-2d88-4960-ba8c-0e6f1e09277d,Arts,illustration,,,,,,
4dbe6b19-1f50-4ada-8f9c-870bc7bc165d,Arts,illustration,iconographie des spectacles,,,,,
bba9b271-17db-450a-990b-cf1fe3c0e5a2,Arts,illustration,iconographie musicale,,,,,
d507bc1f-a41b-40a6-9693-569c58ae1d60,Arts,illustration,plan et description de fête,,,,,
9d19a1f3-466b-48df-bb86-d3436ae2081b,Arts,théâtre,,,,,,
c2e8a937-496f-4c74-9fad-a0283b63e5c5,Arts,théâtre,établissement d'un théâtre [dupliqué dans vie administrative/établissement d’une institution],,,,,
a0832470-e28e-45a5-8112-795db868c01f,Arts,théâtre,genres dramatiques,,,,,
972e67ca-356b-4c5c-bfeb-2addd3feb1ca,Arts,théâtre,genres dramatiques,ballet,,,,
6213438c-fdb6-4cab-a277-c22d05fa326d,Arts,théâtre,genres dramatiques,ballet,ballet allégorique,,,
66f70919-3bbe-4db2-8f62-c72edfdf11a4,Arts,théâtre,genres dramatiques,ballet,ballet champêtre,,,
48cf1898-61ed-45ca-9366-a2f0eaee8574,Arts,théâtre,genres dramatiques,ballet,ballet de cour,,,
f9c5cffa-2d0c-470b-a8b5-ae005a5a3281,Arts,théâtre,genres dramatiques,ballet,ballet du roi,,,
995df18a-df42-4036-ace0-c1424b68c400,Arts,théâtre,genres dramatiques,ballet,ballet à machines,,,
c7004e32-795d-46ac-a6f0-f76b6e23e7c6,Arts,théâtre,genres dramatiques,ballet,entrée dansée,,,
bdeeb0f4-4a0a-423a-ac40-82ae421f2b56,Arts,théâtre,genres dramatiques,ballet,EP ballet de tragédie en musique NA exécutée par un ou plusieurs personnages lors d'une scène de divertissement d'un ouvrage lyrique,,,
1a8c5219-9e23-4e89-8087-288898bd61c1,Arts,théâtre,genres dramatiques,comédie,,,,
cc303def-39b1-464b-a090-5d40432fc212,Arts,théâtre,genres dramatiques,comédie,comédie anglaise,,,
39751153-cdea-4405-8599-9c20f2c8af90,Arts,théâtre,genres dramatiques,comédie,comédie antique,,,
1e49a300-60bc-48a7-bf1c-98463a7fdffd,Arts,théâtre,genres dramatiques,comédie,comédie chinoise,,,
11567567-a844-4f91-86f7-d73dacd83c83,Arts,théâtre,genres dramatiques,comédie,comédie espagnole,,,
38b31de1-d472-49dc-b935-5add1631aa4b,Arts,théâtre,genres dramatiques,comédie,comédie française,,,
32fa14f0-e266-411e-955a-e474bf355fbf,Arts,théâtre,genres dramatiques,comédie,comédie héroïque,,,
2b703457-8a8e-4842-9f75-fe87e93697de,Arts,théâtre,genres dramatiques,comédie,comédie italienne,,,
5f19ccf9-52de-4802-bfbc-4e78adcf9239,Arts,théâtre,genres dramatiques,comédie,comédie en musique,,,
a589e94e-4ecc-490f-897d-f7946d53757a,Arts,théâtre,genres dramatiques,comédie,comédie mêlée de musique [fusionner avec « comédie à intermèdes » ?],,,
78360825-525d-4c11-ac57-acbf2ef3c006,Arts,théâtre,genres dramatiques,comédie,comédie à intermèdes (fusionner avec « comédie mêlée de musique» ?],,,
b126ff43-32b4-4277-a4ce-c0ce748842d5,Arts,théâtre,genres dramatiques,comédie,comédie à machines,,,
3f362891-8ab4-4ce0-b14d-da55e0e1d567,Arts,théâtre,genres dramatiques,comédie,comédie-ballet,,,
d865aa3f-007d-4145-9f4d-cdd4be30e689,Arts,théâtre,genres dramatiques,comédie,comédie-vaudeville,,,
9c3ce37c-c1ba-4271-88d6-cd907676b08b,Arts,théâtre,genres dramatiques,comédie,impromptu dramatique,,,
718ef991-5cd9-4b28-9be1-dfb879b27bba,Arts,théâtre,genres dramatiques,intermède,,,,
5fd74681-c1c0-418b-9508-cd199cd96bce,Arts,théâtre,genres dramatiques,intermède,intermède allégorique,,,
7bb88cc8-1f0c-4d3e-b45b-768475de81a2,Arts,théâtre,genres dramatiques,intermède,intermède dansé,,,
c584f997-f856-42f7-9628-649a5c76e2a5,Arts,théâtre,genres dramatiques,livret d’opéra,,,,
73e9b74e-f4a0-4500-ab87-20f12cf50879,Arts,théâtre,genres dramatiques,pastorale,,,,
73f6b0ed-b6da-495a-a83a-57592178e2d3,Arts,théâtre,genres dramatiques,pastorale,"églogue [peut-on supprimer ici, puisqu’il figure dans genres poétiques ?]",,,
38cde22b-6d7a-4ec9-8a64-52c8f0ad79b4,Arts,théâtre,genres dramatiques,pastorale,"idylle [peut-on supprimer ici, puisqu’il figure dans genres poétiques ?]",,,
caa08118-b573-4a10-b4e4-66882c11d7e6,Arts,théâtre,genres dramatiques,pastorale,pastorale dramatique,,,
400a5453-2408-4355-8ff5-7abd195d8486,Arts,théâtre,genres dramatiques,pastorale,pastorale héroïque,,,
997bc0fe-4096-44e6-895d-eff94ba244ae,Arts,théâtre,genres dramatiques,pièce à machines,,,,
219cb4c7-5d1f-465b-a6c7-eab0734af87d,Arts,théâtre,genres dramatiques,pièce à machines,pièce à machines mêlée de musique,,,
04f6d52d-f560-4b17-a4e9-2b132280d5fe,Arts,théâtre,genres dramatiques,prologue,,,,
9024877f-fdca-4657-99ac-e84aa808c98c,Arts,théâtre,genres dramatiques,théâtre de collège [à indexer comme autant d’institutions ; et indexer à tragédie de collège ou à ballet de collège],,,,
b2dceb3f-7d0b-4d67-928c-3ec0bc9aef4d,Arts,théâtre,genres dramatiques,théâtre spirituel,,,,
b70b052e-e191-4d08-a41b-89dd4994687e,Arts,théâtre,genres dramatiques,tragédie,,,,
485d7c56-8187-4b0f-9720-f3856d2438d3,Arts,théâtre,genres dramatiques,tragédie,tragédie antique,,,
1bd3ef5c-c149-404d-93b0-b2a5b8d9787e,Arts,théâtre,genres dramatiques,tragédie,tragédie grecque,,,
5abd02f2-8ffe-4c09-bcae-e18be62b69d1,Arts,théâtre,genres dramatiques,tragédie,tragédie biblique,,,
dcb99c26-bb24-4e65-a82c-6d3f15f3e1b7,Arts,théâtre,genres dramatiques,tragédie,"tragédie de collège [fusionne avec théâtre de collège et supprimer, et indexer le cas échéant à tragédies (ou comédie, ou ballet) + collège dans Institutions ?]",,,
5249c9da-6909-41d3-8594-93eadebd2d07,Arts,théâtre,genres dramatiques,tragédie,tragédie funèbre,,,
ed40b938-7e3a-4f63-8e35-6afa7b4444bb,Arts,théâtre,genres dramatiques,tragédie,tragédie à machines [attention on a ailleurs « théâtre à machines »],,,
29a5171f-9bf1-498c-bed5-3d8ad0c1ce03,Arts,Arts du décor NB Remplace « biographie d’un musicien ».,,,,,,
