id;cat;pages;Incipit principal ou premier;incipit français;article et notes sur les sources;auteur de la musique IDENTIFIANT Nathalie : remplacer directement par l'id de Directus OK;auteur de la musique LABEL;lieux concernés Nathalie : vérifier la correspondance avec le thésaurus;TITRES propres. Anne: OK orthographe normalisée;´MOTS-CLEFS. Anne: OK;genre poétique;genre mus. Anne: OK;auteur texte IDENTIFIANT Nathalie : normalisation avec Directus OK;auteur texte LABEL ;Notes éditoriales. (à ne pas exporter dans la TEI). Revues  ANNE  : OK NATH: EST-CE QUE TOUTES LES NOTES FIGURENT ICI OU CERTAINES DIRECTEMENT DANS LA TEI ?;Articles liés ajouter les commentaires qui manquent (là où figurent des id);notes sur la musique (tonalité, chiffre de mesure, nbre de mesures, forme). Anne: OK;Tonalité. Anne: OK;forme musicale. Anne: OK;Formes poétiques (fixes) ou description formelle;code incipit musical. Anne: OK;Interprète [de la pièce musicale] Nath : vérifier concordance avec Opentheso;effectif musical;Notes effectifs musicaux;personnes mentionnées (Nath : vérifier concordance et indexation avec Personnes;Numéros de catalogue d'auteur ou Concordances poétiques. Anne: OK;Numéros de catalogue d'auteur ou concordances musicales. Anne: OK;autres sources Vérification par Anne et Nathalie;Institutions mentionnées ;Corporations mentionnées ;Œuvres citées
1711-01_282;;282-283;La bonne chose que le vin;La bonne chose que le vin;"On prie Mr du Bousset d’y faire un air. 
La bonne chose que le Vin. 
J’en connois un que pour Jupin
Fit expres le Dieu de la treille. 
Il chatouille, il grate, il réveille. 
[ornement]

Mais un retour maudit fait secoüer l’oreille, 
Quand le Cabaretier mutin
Nous force à le payer deux écus la bouteille. ";[pas de musique];[pas de musique];;CHANSON; paroles à mettre en air;;[pas de musique];4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;[pas de musique];[pas de musique];[pas de musique];;[pas de musique];;[pas de musique];[pas de musique];1fca10b1-5fc7-4a10-81d0-65f61a1a035b;;;;;;
1680-08_103;1680.08.03;103-104;SI VOUS VOULEZ ME CROIRE;Si vous voulez me croire;air gravé inséré entre les pages 104 et 105 « Jamais de plus magnifiques Paroles n´ont esté employées pour un Air à boire, que celles dont l´illustre Autheur qui me donne ses Ouvrages depuis un an, a fait le sujet de celuy qui suit. AIR A BOIRE. Si vous voulez me croire, Braves Guerriers, Apprenez a mesler les Pampres aux Lauriers. Alexandre dont la Mémoire Vous rend jaloux & vous surprend N'auroit pas eu le nom de Grand, S'il n'eust jamais appris à boire. »;"f8885e89-bd5d-49b1-88d8-eb294efcd56e [attr. probable] ; 4aded38f-fdf8-46bd-8520-c0c9894424a5";"Bertrand de Bacilly (1621-1690) [attr. probable] ; non identifié";;AIR À BOIRE;;;air à boire;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;L'« illustre Autheur qui me donne ses Ouvrages depuis un an » est probablement Bacilly, auteur de 11 des 21 airs publiés entre octobre 1679 (première publication d'un air de Bacilly dans le Mercure) et l'air précédant celui-ci. Cinq de ces airs sont attribués à un autre compositeur et cinq sont anonyme.;;Fa Majeur, ¢, 26 mesures, forme binaire;Fa Majeur;binaire;;51 231 534 251;;ut1,fa4;;18d2cbdf-9c30-47a1-a081-4e92f54a61ab;;;;;;
1678-12_103;1678.12.05;103-106;EN VAIN VOUS M'ORDONNEZ DE FEINDRE;En vain vous m'ordonnez de feindre;air imprimé inséré entre les pages 106 et 107 « Je vous ay toûjours veu rechercher les Airs de Mr de Bacilly avec tant de soin, que j´ay lieu de croire que vous ne serez pas fâchée d´en voir un de la composition de Mr Daniel, qu´il a choisy comme un digne Sujet pour luy mettre entre les mains tout ce qu´il avoit de Gens de la premiere qualité à instruire dans la belle maniere de chanter. Vous sçavez, Madame, que peu de Personnes en ont une connoissance aussi parfaite que Mr de Bacilly, & qu´il en a mesme fait un Traité fort utile à ceux qui veulent parler en public, à cause des Regles de prononciation, & de quantite de choses tres-curieusement remarquées. Le choix qu´il a fait de Mr Daniel pour luy donner toutes ses pratiques, en luy faisant épouser une de ses Nièces, vous fait connoistre qu´il estoit fortement persuadé de son mérite. Aussi celuy dont je vous parle est-il dans une grande réputation soit pour le fond de la Musique, soit pour la composition des Parties, pour le génie de faire de tres-beaux Airs, & sur tout pour la noble & agreable exécution du Chant. Vous en jugerez par ces Paroles qu´il a notées. AIR NOUVEAU. En vain vous m'ordonnez de feindre De l'indiférence pour vous, Pour tromper les Ialoux, Que nous avons à craindre. Lorsque l'on joüit chaque jour Des charmes de vostre présence, Il est malaisé que l'amour Paroisse de l'indiférence. »;8ed87974-4398-4790-af97-d3505f4d53f7;Daniel, M. (fl. 1678-1680);;AIR NOUVEAU;" ; enseignement de la musique ; art du chant ; composition ; rapport maître/élève";madrigal ;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;Ut Majeur, ¢, 24 mesures, forme continue;"Ut Majeur ;";continue;;1 7123 671 1;;ut1/bc;;"d43150b4-7c7a-4444-868e-d8aa7fbac7e6 ; f8885e89-bd5d-49b1-88d8-eb294efcd56e";;;;;;BACILLY, B. de, Remarques curieuses sur l'art de bien chanter
1718-04_186;1718.04.01;186-187;T'EN COÛTE LE PLUS TENDRE;T'en coûte le plus tendre;"air gravé inséré entre les pages 186 et 187. « CHANSON. T'en costé, lé plus téndré Dés Pastours, Per navé voulgu dous, Lizétte ; D'un airé doucéroux mé-disiés, Bergerette, Qu'aviei tord d'estre jalous, Et pei déssus l'Herbette, Randiés mon Rival heurous. TRADUCTION LITERALE DE LA CHANSON. Il t'en coute le plus tendre des Bergers, pour en avoir voulu deux, Lizette. D'un air douceureux tu me disois, Bergere, que j'avois tort d'estre jaloux ; & puis, dessus l'Herbette, tu rendois mon Rival heureux. »";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;CHANSON;"Traduction ;";;"air ; chanson languedocienne";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;À la fin de la partition : « Gravé par H. de Baussen, sur le Quay de la Megisserie, Aux Trois Palmes ».;;Fa Majeur, 2, 37 mesures, forme continue.;Fa Majeur;continue;;5 123231 565454 31;;ut1;;798de988-9f50-495b-bd94-3b5a59a63c00;;;;;;
1682-09b_068;1682.09.25;81-82;FAVORIS D'APOLLON MESSIEURS LES BEAUX ESPRITS;Favoris d'Apollon messieurs les beaux esprits;air gravé inséré entre les pages 82-83 « Comme tout ce qui se fait présentement est à la loüange de Monseigneur le Duc de Bourgogne, les Musiciens n´ont pas manqué de mettre en air des Paroles sur cet auguste sujet. En voicy que je vous envoye notées. Elles sont de Mr Daubaine. AIR NOUVEAU. Favoris d'Apollon, Messieurs les beaux Esprits, Par vos sçavans Ecrits Celébrez l'heureuse Naissance Du Prince, dont les Cieux font présent à la France. Bacchus est ma Divinité. Je remplis une place A la Table mieux qu'au Parnasse, Mon partage sera de boire à sa santé. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;célébration d'une naissance princière ;poésie de circonstance;air;4e1fc1b4-ffdb-4215-9b08-e2f185beef34;DAUBAINE, Mr;;;Fa Majeur, 3 puis C ouis 3, 28 mesures, forme binaire;Fa Majeur;binaire;;54 345 123 621 7;;ut1,fa4;;cfdfacf6-e6ac-4ecd-a153-2ccf3b650c87;;;;;;
1682-10b_059;1682.10.26;59-60;You ai mon fifré prends ton tambourin;You ai mon fifré prends ton tambourin;"air gravé inséré entre les pages 60 et 61 « Je vous manday la derniere fois en vous parlant de Marseille, que pour une plus grande marque de joye, la Musique chanta une Chanson Provençale dans l´Eglise Major, après que le Te Deum eut esté chanté [cf. 1682.09.41]. Je viens de la recevoir notée, & je vous l´envoye. Les Trompetes y tinrent leur partie. CHANSON PROVENCALE. You ay mon Fifré, pren ton Tambourin, Anen jougua l?Aubado A l'Acouchado Qu'a fach lou Dauphin ; Quand l'y seren, veissy coumo fau fairé, Parapatapan, parapatapan, Parapatapan, tiretto. A quo poû pas manqua de réjoüy la Mayré, Parapatan, tiretto. A quo poû pas manqua de réjoüy l'Enfan. »";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;MARSEILLE, Cathédrale La Major;CHANSON PROVENÇALE;"Te Deum ;  trompette ; poésie de circonstance ; célébration d'une naissance princière";;air provençal;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;ré mineur, 3 puis C, 22 mesures, forme continue.;"ré mineur ;";continue;;112 756 67111 1;;sol2,fa4;;cfdfacf6-e6ac-4ecd-a153-2ccf3b650c87;;;;;;
1696-11_327;1696.11.01;327-328;VENEZ FAVORABLE PRINCESSE;Venez favorable princesse;air gravé inséré entre les pages 328 et 329 « Les paroles suivantes sont de Mr Mallemans de Colonge, & l'Air est de Mr d'Ambruis. AIR NOUVEAU. Venez favorable Princesse Que la Paix conduit en ces lieux. Vostre Hymen approuvé des Cieux, Remplit la France d'allegresse. Son réjoüissant appareil Nous fera naistre aprés la guerre, Des rayons de nostre Soleil Quelque Astre propice à la terre. »;565ce1d7-f2a4-4a1d-abef-19c4e6903453;Ambruis, Honoré d' (1660-1702);;AIR NOUVEAU;;"poésie encomastique ; poésie de circonstance";air;2ff71077-972e-4968-bf61-4a42493e06ff;MALLEMANS DE COLONGE, Mr;Le poème fait allusion à l'arrivée de Marie-Adélaïde de Savoie à la cour de France, en novembre 1696.;;Ut Majeur, C et 3 en alternance, 18 mesures, forme binaire.;"Ut Majeur ;";binaire;;151 712 233 155;;sol2,fa4;;2c05519f-e349-4cc4-8bf1-88de2093e73a;;;;;;
1708-03_225;1708.03.01;225-226;JE SUIS DIEU DES AMOURS DES GRÂCES ET DES RIS;Je suis dieu des amours des grâces et des ris;"air gravé inséré entre les pages 226 et 227 « Je vous envoye un Air nouveau, dont vous reconnoîtrez sans doute les paroles, puisqu'elles sont tirées de ma Lettre du mois de Janvier dernier, dans lequel je vous ay parlé d'un amour galant, qui s'est fait admirer dans l'un des Bals de la Cour du Carnaval dernier. AIR NOUVEAU. Je suis Dieu des Amours, des graces & des ris ; Et sur tant de beautez qu'on voit icy paroitre, C'est moy qui vous donne le prix. Le Dieu d'Amour doit s'y connoitre. J'ay quitté mon bandeau pour pouvoir desormais Chaque instant admirer tant de graces nouvelles ; Et pour ne vous quitter jamais, J'ay moy-même coupé mes ailes. »";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;carnaval;;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;Les vers s'adressent à la duchesse de Bourgogne et figurent p. 411-412. Le texte de l'air a été initialement publié dans une relation de plusieurs bals donnés à Marly (janvier 1708, p. 408-412).;X;sol mineur, 3, 28 mesures, forme binaire.;"sol mineur ;";binaire;;15 234 251 671 7;;ut1/bc;;2c05519f-e349-4cc4-8bf1-88de2093e73a;;;;;;
1708-04_078;1708.04.01;78-79;LE BERGER PÂRIS COURONNA JADIS UNE IMMORTELLE;Le berger Pâris couronna jadis une immortelle;air gravé inséré entre les pages 78 et 79 « Ceux qui demandent de la varieté dans mes Lettres, en trouveront beaucoup en lisant l'Article suivant, qui est bien different de celuy qui le precede. Vous remarquerez, sans doute, d'abord que les Vers qui ont esté mis en Air sont tirez d'une Mascarade du Carnaval dernier, & vous vous souviendrez qu'ils ont esté fait pour une grande Princesse. AIR NOUVEAU. Le Berger Paris couronna jadis une Immortelle, Et la Pomme qu'il luy donna estoit pour la plus belle. Un Dieu, Princesse, dans ce jour Vous rend le même hommage, Recevez-icy de l'Amour Cette Pomme pour gage. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;"carnaval ; ";;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;Les vers s'adressent à la duchesse de Bourgogne. Le Mercure galant avait publié en janvier précédent (cf. 1708-01_408) le texte du Divertissement de Marly dont sont tirées les paroles de cet air, composé sur la première strophe du poème. ;X;sol mineur, ¢, 16 mesures, forme binaire.;"sol mineur ;";binaire;;15 42321 712342 5;;ut1/bc;;2c05519f-e349-4cc4-8bf1-88de2093e73a;;;;;;
1697-01_281;1697.01.01;281-282;AVOIR TOUS LES APPAS DE L'AIMABLE JEUNESSE;Avoir tous les appas de l'aimable jeunesse;air gravé inséré entre les pages 280 et 281 « Les Vers qui suivent sont de Mademoiselle de Scudery, & ils ont esté mis en chant par Mr le Camus. AIR NOUVEAU. Avoir tous les appas de l'aimable jeunesse, Joindre avec la beauté l'esprit & la sagesse, Suivi d'un air charmant qu'on ne peut exprimer, C'est ce qu'on trouve en la Princesse Qu'on ne se lasse point de voir & d'admirer Et qui de tous les coeurs sçait se faire adorer. »;32851683-2f4e-48c6-a11c-a939fdc2f18c;LE CAMUS, Charles [?-?];;AIR NOUVEAU;;poésie encomastique;air;009f5eb8-1bbd-4cc1-ae4d-abb9f99bedb3;Scudéry, Madeleine de (1608-1701);le poème fait allusion à Marie-Adélaïde de Savoie, arrivée en novembre 1696 à la cour de France.;;Fa Majeur, ¢, 30 mesures, forme binaire.;Fa Majeur;binaire;;15 234 322 512;;ut1/bc;;2c05519f-e349-4cc4-8bf1-88de2093e73a;"RASB 1697-02 p. 26 ;";"RASB 1697-02 p. 26 ;";;;;
1697-11_278;1697.11.02;278;AH QUELLE HEUREUSE DESTINÉE;Ah quelle heureuse destinée;air gravé inséré entre les pages 278 et 279 « Voicy un seconde Chanson sur la Paix, & sur l'auguste Mariage qui se doit faire dans fort peu de jours. Les Vers ont esté encore notés par Mr Pivin. AIR NOUVEAU. Ah, qu'elle heureuse destinée ! On commence à goûter la douceur du repos. C'est un bien que nous fait le plus grand des Heros Par la Paix & par l'Hymenée. »;26767cf0-8cae-465d-9f23-c263697e75b0;PIVIN, Mr;;AIR NOUVEAU;;"épithalame ; poésie de circonstance";air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;Le mariage du duc de Bourgogne et de Marie-Adélaïde de Savoie fut célébré le 7 décembre 1697.;;Ut Majeur, 3, 14 mesures, forme binaire.;"Ut Majeur ;";binaire;;12 366 717 755;;sol2,fa3;;"2c05519f-e349-4cc4-8bf1-88de2093e73a ; cfdfacf6-e6ac-4ecd-a153-2ccf3b650c87";;;;;;
1697-03_176;1697.03.01;176-179;En quittant la Savoie;En quittant la Savoie Votre auguste présence Louis et votre père Le Prince qu'on vous donne Son coeur comme le vôtre La paix ensevelie À votre mariage Ma flûte est toute prête L'on m'entendra sans cesse Sur le bord de la Seine;"air gravé inséré entre les pages 176 et 177 « Voicy des Vers qui ont esté mis en air par un habile homme. Ils sont de Mr Dader de Toulouse, & ils ont esté faits sur l'arrivée de Madame la Princesse de Savoye en France. Je vous envoye un quatrain noté, qui vous servira à chanter les autres. CRIS D'ALLEGRESSE D'un Berger du rivage De la Seine. EN quittant la Savoye Pour nous donner des Loix, Vous allumez la joye Dans le coeur des François. * Vostre auguste presence Qui remplit nos desirs, Redouble de la France Les jeux & les Plaisirs. * LOUIS & vostre Pere Avec nostre Dauphin, Sont charmez du mistere Qu'accomplit le destin. * Le Prince qu'on vous donne Ne vous promet pas moins Qu'une riche Couronne, Pour payer tous vos soins. * Son coeur, comme le vostre, Est rempli de vertus ; Ils sont faits l'un pour l'autre, Et du Ciel reconnus. * La Pais ensevelie Dans son banissement, Est enfin rétablie Par vostre Himen charmant. * A vostre Mariage L'on en doit les douceurs ; Achevez ces Ouvrages Au gré de tous nos coeurs, * Ma fluste est toute preste. Mes petits chalumeaux Reservent pour la Feste Leurs concerts les plus beaux. * L'on m'entendra sans cesse Chanter avec ardeur La Prince & la Princesse Qui font nostre bonheur. * Sur le bord de la Seine, Pour me faire écouter, Quand j'auray pris haleine, Je m'en vais concerter. »";4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;TOULOUSE;CRIS D'ALLEGRESSE D'un Berger du rivage De la Seine;"flûte ; concert ; chalumeau";"poésie encomiastique ; poésie de circonstance";air;7f0b7969-c4c6-4f1e-b4ff-869a684bbe6d;Dader, M. (fl. 1697);;;sol mineur, 2, 8 mesures, forme binaire.;"sol mineur ;";binaire;;171 223 134 543;;ut1/bc;;"2c05519f-e349-4cc4-8bf1-88de2093e73a ;cfdfacf6-e6ac-4ecd-a153-2ccf3b650c87 ; 1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6 ; e304e090-ef6e-43c5-b42d-4ff79df2d416";;;;;;
1697-05_266;1697.05.01;266-267;AIMABLE OBJET D'UNE FLAMME INNOCENTE;Aimable objet d'une flamme innocente;"air gravé inséré entre les pages 266 et 267 « Je vous envoye une Chanson nouvelle, dont les paroles sont de Mr Morel, & l'Air de Mr Arnoul. AIR NOUVEAU, Aimable objet d'une flâme innocente, Astre brillant, beauté naissante, Goûtez les doux attraits de ce charmans sejour ; L'Amour qui vous forma pour aimer & pour plaire, Vous enleve du sein de vôtre auguste Mere, Pour vous unir au Sang qui luy donna le jour. Vous voyez bien que ces paroles ne peuvent regarder que Madame la Princesse de Savoye. »";28d78e95-4671-45e5-8ef9-bb95322cfdb6;Arnoux, Joseph (?-1730);;AIR NOUVEAU;;"poésie encomiastique ; poésie de circonstance";air;39d1a238-6f5d-4d31-9dc9-6a3fe5c547f8;Morel, Antoine (1648 ca-1711);;;Sol Majeur, 3, 25 mesures, forme binaire.;"Sol Majeur ;";binaire;;53 171 223 434;;sol2/bc;;"2c05519f-e349-4cc4-8bf1-88de2093e73a ; 14332a6d-2367-412a-8252-c4cdc8292d46";"RASB 1697-06 p. 112 (sous le titre d'« Air pour Madame la duchesse de Bourgogne. De Monsieur de Saint Germain. ») ;";;;;;
1707-02_163;1707.02.02;163-164;LE CIEL DONNE UN PRINCE À LA FRANCE;Le ciel donne un prince à la France;"air gravé inséré entre les pages 164 et 165 « [L'air suit l'article sur les réjouissances à Pau pour la naissance du Duc de Bretagne.] Je crois ne pouvoir mieux finir cet Article de réjoüissances [à Pau pour la naissance du duc de Bretagne], que par l'Air que je vous envoye. Il est de Mr Careau. AIR NOUVEAU. Le Ciel donne un Prince à la France, Les jeux, les ris, & les amours, Ont celebré sa naissance ; Phoebus, pour l'honorer, ramene les beaux jours ; Nostre vin est bon à merveille : Ha que de plaisirs à la fois ; Chantons armez d'une bouteille, La gloire (1) & le bonheur de l'Empire François. » (1) La source musicale ajoute en début de vers « Chantons ».";00cfae11-79f1-44da-93ef-d06e2565b506;Du Careau, M. (fl. 1707);;AIR NOUVEAU;"célébration d'une naissance princière ; ";poésie de circonstance;air à boire;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;ré mineur, 3, 28 mesures, forme binaire.;"ré mineur ;";binaire;;1 712 342 31;;ut1/bc;;94c24aed-ea6f-422a-bbe4-23c16a750ebe;"Dauphin, Charles, IIIe Recueil d'airs sérieux et à boire... (Paris, 1730), p. 81-83. Variantes poétiques mineures ;";;;;;
1707-03_111;1707.03.01;111-113;ÉCOUTE-NOUS SEIGNEUR RÉPONDS À NOTRE ZÈLE;Écoute-nous Seigneur réponds à notre zèle;"air gravé inséré entre les pages 112 et 113 « Je vous envoye un Air nouveau de Mr Metz de la Fléche en Anjou, dont les paroles vous feront connoistre que les François sont toûjours animez d'un veritable zele ; & quoyqu'ils ayent continué d'en donner des marques dans toutes les réjoüissances qui se sont faites pour la naissance de Monseigneur le Duc de Bretagne, ils ne laissent par d'en donner tous les jours de nouvelles, selon les occasions qui s'en presentent. AIR NOUVEAU. Ecoute-nous Seigneur, répons à nostre zele En faveur de Loüis, ton serviteur fidelle. Aux besoins de son peuple, acorde ton secours ; Conserve ce grand Roy que ta bonté nous donne, Et que tout ce qui peut ébranler sa Couronne, Jamais de son bonheur n'interrompe le cours. Qu'il regne dans les coeurs, qu'il regne sur la Terre Grand dans la Paix, grand dans la Guerre : Qu'il soit par tout comblé d'honneurs : Qu'il regne dans les coeurs Qu'il regne sur la Terre. »";6807d013-7934-47ea-b872-31869ad7866c;MAIZ, Mr de;"ANJOU ; LA FLÈCHE";AIR NOUVEAU;;poésie encomiastique ;air;6807d013-7934-47ea-b872-31869ad7866c [attr. possible];Maiz, M. de (fl. 1704-1707) [attr. possible];Mr de Maiz pourrait être l'auteur du poème et de la musique, comme aussi des airs 1705-02_074, 1705-09_203 et 1706-02_128.;x;sol mineur, ¢ puis 3, 65 mesures, forme binaire.;"sol mineur ;";binaire;;512 31 55 11 2;;fa4;;"94c24aed-ea6f-422a-bbe4-23c16a750ebe ; 1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6";;;;;;
1707-02_019;1707.02.01;19-20;O FRANCE EN MERVEILLES FÉCONDE;O France en merveilles féconde;air gravé inséré entre les pages 20 et 21 « Les Poëtes ayant exercé leur veine, & les Musiciens leur talent sur la naissance de Monseigneur le Duc de Bretagne, il a paru plusieurs Chansons sur ce sujet. Les paroles de celle que je vous envoye ont esté mises en Air par Mr du Careau. AIR NOUVEAU. O France ! en merveilles feconde, Pour soûtenir l'éclat des Lis, Le Ciel donne un nouveau Fils Au plus auguste Roy du monde. »;00cfae11-79f1-44da-93ef-d06e2565b506;Du Careau, M. (fl. 1707);;AIR NOUVEAU;;poésie de circonstance;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;sol mineur, 3, 29 mesures, forme binaire avec prélude et interlude de dessus (sol1) et bc.;"sol mineur ;";binaire;;5 12 321 56543;;ut1,fa4/d/bc;;"94c24aed-ea6f-422a-bbe4-23c16a750ebe ; 1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6";;;;;;
1706-04_375;1706.04.01;375-376;NOS TRISTES COEURS NE FORMENT PLUS DE VOEUX;Nos tristes coeurs ne forment plus de voeux;"air gravé inséré entre les pages 374 et 375 « Je vous envoye un air nouveau, qui convient également au Printems, & à l'ouverture de la Campagne. Les paroles sont d'une Dame distinguée par son esprit, & dont les ouvrages sont tous les jours admirez ; & l'air est de Mr Charles, disciple de Mr Brossant. AIR NOUVEAU. Nos tristes coeurs ne forment plus de voeux Pour revoir la saison nouvelle. Une guerre cruelle A fait mourir nos plaisirs & nos jeux. Amour tu peut calmer l'ennuy qui nous devore Du redoutable Mars desarme le couroux. Pour nous vanger, fais qu'il soit pris encore, Dans les filets d'un jaloux. »";f379276f-4bf5-483c-b1c1-a58c3c723391;Charles, M. (fl. 1706-1710);;AIR NOUVEAU;printemps;poésie de saison;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;Il est possible que M. Charles ait été le disciple de Sébastien de Brossard plutôt que celui de Brossant.;;ré mineur, ¢, 3/8 [noté 1/3] et 3/2 en alternance, 55 mesures, forme binaire.;"ré mineur ;";binaire;;13 232 223 171;;ut3,fa3;;74afba4b-46b7-4463-851b-cba8420519c7;"RASB-1709-03 p. 60-62 ;";"RASB-1709-03 p. 60-62 avec variantes (ut3, fa4/bc) ;";;;;
1715-01_330;1715.01.01;330-333;L'hiver a glacé nos fontaines;L'hiver a glacé nos fontaines;"air gravé inséré entre les pages 332 et 333. « Vous vous enrichissez, me disoit il y à [sic] quelques jours, un des plus sages & des plus éminents personnages que nous ayons en France ; & je n'ay cette opinion de vôtre fortune, que parce que le Mercure me paroît aussi bon qu'il peut l'estre. Pour moy qui sçait bien ce que j'en pense, & qu'il ne tient qu'à vous (je vous le repete encore, Messieurs, qu'il ne soit incomparablement meilleur ;) je luy répondis ces quatre vers que je me souviens d'avoir lû autrefois dans les oeuvres du Chevalier d'Aceilly. Entre nous jamais de negoce, *Mercure tu m'as affronté, J'aurois maintenant un carosse Du papier que tu m'as coûté. Il eut de la peine à me croire sur ma parole, cela est pourtant presque vray ; mais c'est vôtre affaire, & vôtre indifference pour moy n'étourdit pas assez ma Philosophie, pour m'empêcher de vous proposer de chanter ma Chanson. CHANSON. L'Hyver a glacé nos Fontaines, On entend (1) plus le murmure des eaux, Tout languit dans nos Bois, & nos Prez & nos Plaines N'ont plus de verds gazons, ny de coulans ruisseaux ; Mais en vain la Saison cruelle M'empêche de garder mes moutons dans les champs, Quand je voy mon Berger fidele, Je croy toûjours estre au Printemps. » En bas de page 331, note : « * Il y a dans l'original Appollon. » (1) « n'entend » dans la source musicale.";a69bf250-9e4b-44a7-a2eb-9590fa17c8ed;Du Breuil de Vignancourt, M. (fl. 1714-1716);;CHANSON;hiver;poésie de saison;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;L'attribution figure au départ de la musique.;;ré mineur, ¢, 25 mesures, forme binaire avec petite reprise.;"ré mineur ;";binaire;;1 545342 31;;ut1;;03b16f93-5e01-415f-b093-2d5277cb30d7;;;;;;
1678-01_229;1678.01.07 H.462;230-231;QUOI RIEN NE PEUT VOUS ARRÊTER;Quoi rien ne peut vous arrêter;air gravé inséré entre les pages 230 et 231 « En voicy d´autres [paroles] dont vous allez trouver l´Air noté. AIR NOUVEAU. Quoy, rien ne vous peut arrester ? L'Amour (1) cede à la Gloire, Et vous voulez me quiter Pour courir apres la Victoire ? Rend-elle un Vainqueur plus heureux Que la tendresse D'une Maistresse Qui partage ses feux ? Je prétens que vous me ferez un fort grand remerciëment de cet Air, puis qu´il est de Mr Charpentier, fameux par mille Ouvrages qui ont esté le charme de toute la France, & entr´autres, par l´Air des Maures du Malade Imaginaire, & par tous ceux de Circé & de l´Inconnu. Il a demeuré longtemps en Italie, où il voyoit souvent le Charissimi, qui estoit le plus grand Maistre de Musique que nous ayons eu depuis longtemps. Vous avez lû les Paroles de l´Air de Mr Charpentier, voyez les notées. » (1) « Vostre amour » dans la source musicale.;8e0f9eca-ff96-4017-b548-f16ea511ac79;Charpentier, Marc-Antoine (1643-1704);;AIR NOUVEAU;enseignement de la musique;madrigal ;;"4aded38f-fdf8-46bd-8520-c0c9894424a5 ; 6c50b4a2-cf36-481f-904d-b09c548d4bbc [attr. douteuse]";"non identifié ; DESHOULIÈRES, Antoinette du Ligier de La Garde [1638-1694], dite Mme [attr. douteuse]";"Catherine Cessac (Bulletin de la Société Marc-Antoine Charpentier n° 20 (2003), p. 3, note 10) attribue le texte de cet air à Mme Deshoulières, en raison de la mention d'un autre texte de cet auteur mis en musique par M. de La Tour (« Iris sur la fougère », cf. 1678-01_226) introduit par le commentaire : « En voicy d'autres dont vous allez trouver l'air noté » ; mais l'adjectif indéfini ne suffit pas à attribuer l'air « Quoi rien ne peut vous arrêter » au même auteur.";x;Ré Majeur, 3/2, 23 mesures, forme binaire;Ré Majeur;binaire;;134 5554323 3;;ut1/bc;;16abb49a-0d35-47b1-987d-37121da062e7;;Catalogue des œuvres de Marc-Antoine Charpentier : H. 462;;;;"CHARPENTIER, M.-A., Circé ; CHARPENTIER, M.-A., L'inconnu ; CHARPENTIER, M.-A., Le malade imaginaire, air des maures"
1706-12_328;1706.11.01;242-243;QUOI VOUS ME DEMANDEZ QUI SERA MON TIRCIS;Quoi vous me demandez qui sera mon Tircis;air gravé inséré entre les pages 242 et 243 « [L'air suit une relation sur la mariage du Marquis de Carman avec Marie-Louise Binet de Marcognet.] Peut-estre que si Mr le Marquis de Carman avoit demandé a Mlle de Marcognet avant que de l'épouser, qui estoit son Tircis, elle luy auroit répondu ce que vous trouverez dans les paroles suivantes. AIR NOUVEAU. Quoy ? vous me demandez qui sera mon Tircis, Pouvez-vous en douter, vous seul le devez estre : Oüy si j'ay de l'amour, vous seul l'avez fait naistre, Et vous seul avez droit d'estre vainqueur d'Iris. »;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;AIR NOUVEAU;;madrigal ;air;4aded38f-fdf8-46bd-8520-c0c9894424a5;non identifié;;;Ut Majeur, 3/2 puis ¢, 19 mesures, forme binaire.;"Ut Majeur ;";binaire;;15551 656434 3;;ut1/bc;;"da635e7f-cfd6-4d23-8867-df9568ec70aa ; 3bc34087-6dd9-4fe1-9b5f-4652ef396506";;;;;;
